Plot,Genotype,Experiment,Total Plants,Number Lodged,Percent Lodging,Lodging Index,Lodged
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
220,GT112,55 and friends,11,0,0,0,N
106,Hi34,55 and friends,4,4,100,3,Y
106,Hi34,55 and friends,4,4,100,3,Y
106,Hi34,55 and friends,4,4,100,2,Y
106,Hi34,55 and friends,4,4,100,2,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
219,Hi34,55 and friends,8,8,100,3.5,Y
10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y
10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y
10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y
10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y
10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y
10,Hickory King,55 and friends,9,5,55.55555556,0,N
10,Hickory King,55 and friends,9,5,55.55555556,0,N
10,Hickory King,55 and friends,9,5,55.55555556,0,N
10,Hickory King,55 and friends,9,5,55.55555556,0,N
10,Hickory King,55 and friends,9,5,55.55555556,0,N
140,Hickory King,55 and friends,9,9,100,0.5,Y
140,Hickory King,55 and friends,9,9,100,0.5,Y
140,Hickory King,55 and friends,9,9,100,2,Y
140,Hickory King,55 and friends,9,9,100,2,Y
140,Hickory King,55 and friends,9,9,100,2,Y
140,Hickory King,55 and friends,9,9,100,2,Y
140,Hickory King,55 and friends,9,9,100,2,Y
140,Hickory King,55 and friends,9,9,100,2,Y
140,Hickory King,55 and friends,9,9,100,2,Y
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
2,Hp301,55 and friends,13,0,0,0,N
