Accession,susceptibility_avg,susceptibility_avg_category2,PLOT.ID,PlantNumber,NumWhorls,cat
CML52,100,high,S165,Plant6,1,Variable
CML52,100,high,S48,Plant4,0,Variable
CML69,97.06,high,S102,Plant7,1,Variable
CML69,97.06,high,S102,Plant5,1,Variable
CML69,97.06,high,S102,Plant6,1,Variable
CML69,97.06,high,S46,Plant7,1,Variable
CML69,97.06,high,S46,Plant4,0,Variable
CML69,97.06,high,S46,Plant5,0,Variable
CML69,97.06,high,S102,Plant8,1,Variable
CML69,97.06,high,S102,Plant2,0,Variable
CML69,97.06,high,S46,Plant2,2,Variable
CML69,97.06,high,S102,Plant4,1,Variable
CML69,97.06,high,S102,Plant9,1,Variable
CML69,97.06,high,S46,Plant3,1,Variable
CML69,97.06,high,S102,Plant1,1,Variable
CML69,97.06,high,S46,Plant8,1,Variable
CML69,97.06,high,S102,Plant3,0,Variable
CML69,97.06,high,S46,Plant1,3,Variable
CML69,97.06,high,S46,Plant6,0,Variable
Hickory King,77.78,high,S140,Plant6,0,Variable
Hickory King,77.78,high,S140,Plant3,1,Variable
Hickory King,77.78,high,S140,Plant2,2,Variable
Hickory King,77.78,high,S140,Plant5,1,Variable
Hickory King,77.78,high,S10,Plant2,2,Variable
Hickory King,77.78,high,S140,Plant1,0,Variable
Hickory King,77.78,high,S140,Plant4,1,Variable
Hickory King,77.78,high,S140,Plant8,1,Variable
Hickory King,77.78,high,S10,Plant5,2,Variable
Hickory King,77.78,high,S10,Plant1,1,Variable
Hickory King,77.78,high,S140,Plant9,1,Variable
Hickory King,77.78,high,S10,Plant3,3,Variable
Hickory King,77.78,high,S10,Plant4,2,Variable
Hickory King,77.78,high,S140,Plant7,0,Variable
Ky21,35.61,average,S71,Plant3,1,Variable
Ky21,35.61,average,S71,Plant5,2,Variable
Ky21,35.61,average,S18,Plant10,2,Variable
Ky21,35.61,average,S18,Plant1,2,Variable
Ky21,35.61,average,S18,Plant3,3,Variable
Ky21,35.61,average,S71,Plant2,1,Variable
Ky21,35.61,average,S71,Plant1,2,Variable
Ky21,35.61,average,S18,Plant7,2,Variable
Ky21,35.61,average,S18,Plant8,2,Variable
Ky21,35.61,average,S18,Plant5,3,Variable
Ky21,35.61,average,S18,Plant11,3,Variable
Ky21,35.61,average,S18,Plant9,3,Variable
Ky21,35.61,average,S71,Plant6,3,Variable
Ky21,35.61,average,S18,Plant2,3,Variable
Ky21,35.61,average,S71,Plant4,3,Variable
Ky21,35.61,average,S18,Plant6,2,Variable
Ky21,35.61,average,S18,Plant4,2,Variable
LH252,69.78,high,S134,Plant3,2,Variable
LH252,69.78,high,S16,Plant2,1,Variable
LH252,69.78,high,S16,Plant1,0,Variable
LH252,69.78,high,S16,Plant5,2,Variable
LH252,69.78,high,S134,Plant2,1,Variable
LH252,69.78,high,S16,Plant6,1,Variable
LH252,69.78,high,S16,Plant9,1,Variable
LH252,69.78,high,S134,Plant4,2,Variable
LH252,69.78,high,S16,Plant10,1,Variable
LH252,69.78,high,S134,Plant1,1.5,Variable
LH252,69.78,high,S16,Plant7,1,Variable
LH252,69.78,high,S16,Plant3,1,Variable
LH252,69.78,high,S16,Plant11,1,Variable
LH252,69.78,high,S16,Plant4,1,Variable
LH252,69.78,high,S16,Plant8,1,Variable
LH252,69.78,high,S16,Plant12,1,Variable
M37W,14.665,low,S200,Plant8,2,Variable
M37W,14.665,low,S200,Plant9,1,Variable
M37W,14.665,low,S200,Plant7,2,Variable
M37W,14.665,low,S210,Plant8,0,Variable
M37W,14.665,low,S200,Plant6,0,Variable
M37W,14.665,low,S200,Plant11,1,Variable
M37W,14.665,low,S210,Plant6,1,Variable
M37W,14.665,low,S210,Plant2,1,Variable
M37W,14.665,low,S200,Plant5,2,Variable
M37W,14.665,low,S200,Plant2,2,Variable
M37W,14.665,low,S200,Plant4,1,Variable
M37W,14.665,low,S210,Plant1,1,Variable
M37W,14.665,low,S210,Plant4,1,Variable
M37W,14.665,low,S210,Plant7,1,Variable
M37W,14.665,low,S200,Plant1,1.5,Variable
M37W,14.665,low,S200,Plant3,1,Variable
M37W,14.665,low,S210,Plant3,1,Variable
M37W,14.665,low,S210,Plant5,1,Variable
M37W,14.665,low,S200,Plant10,1.5,Variable
Mo18W,97.22,high,S214,Plant2,2,Variable
Mo18W,97.22,high,S43,Plant1,2,Variable
Mo18W,97.22,high,S214,Plant1,1,Variable
Mo18W,97.22,high,S43,Plant2,2,Variable
Mo18W,97.22,high,S43,Plant3,2,Variable
Mo18W,97.22,high,S214,Plant3,2,Variable
Oh7B,94.445,high,S104,Plant7,1,Variable
Oh7B,94.445,high,S29,Plant8,2,Variable
